instance,solver,mode,partial_k,lookahead_depth,cost,high_expanded,high_generated,low_expanded,low_generated,cpu_time_or_status,cpu_time_raw,cpu_time,instance_short,instance_short_wide,cost_astar,low_expanded_astar,low_generated_astar,cpu_time_astar,cost_lookahead,low_expanded_lookahead,low_generated_lookahead,cpu_time_lookahead,cost_partial,low_expanded_partial,low_generated_partial,cpu_time_partial
instances\test_1.txt,CBS,astar,,,41,145.0,289.0,3763.0,12068.0,0.083773,0.083773,0.083773,test_1.txt,test_1.txt,41,3763.0,12068.0,0.083773,41,3763.0,12068.0,2.65648,41,3899.0,11491.0,0.084454
instances\test_1.txt,CBS,partial,3,,41,145.0,289.0,3899.0,11491.0,0.084454,0.084454,0.084454,test_1.txt,test_1.txt,41,3763.0,12068.0,0.083773,41,3763.0,12068.0,2.65648,41,3899.0,11491.0,0.084454
instances\test_1.txt,CBS,lookahead,,4,41,145.0,289.0,3763.0,12068.0,2.656480,2.656480,2.65648,test_1.txt,test_1.txt,41,3763.0,12068.0,0.083773,41,3763.0,12068.0,2.65648,41,3899.0,11491.0,0.084454
instances\test_10.txt,CBS,astar,,,19,4.0,7.0,100.0,304.0,0.003598,0.003598,0.003598,test_10.txt,test_10.txt,19,100.0,304.0,0.003598,19,100.0,304.0,0.058898,19,112.0,299.0,0.003
instances\test_10.txt,CBS,partial,3,,19,4.0,7.0,112.0,299.0,0.003000,0.003000,0.003,test_10.txt,test_10.txt,19,100.0,304.0,0.003598,19,100.0,304.0,0.058898,19,112.0,299.0,0.003
instances\test_10.txt,CBS,lookahead,,4,19,4.0,7.0,100.0,304.0,0.058898,0.058898,0.058898,test_10.txt,test_10.txt,19,100.0,304.0,0.003598,19,100.0,304.0,0.058898,19,112.0,299.0,0.003
instances\test_11.txt,CBS,astar,,,35,3.0,5.0,143.0,450.0,0.003987,0.003987,0.003987,test_11.txt,test_11.txt,35,143.0,450.0,0.003987,35,143.0,450.0,0.094326,35,139.0,411.0,0.005996
instances\test_11.txt,CBS,partial,3,,35,3.0,5.0,139.0,411.0,0.005996,0.005996,0.005996,test_11.txt,test_11.txt,35,143.0,450.0,0.003987,35,143.0,450.0,0.094326,35,139.0,411.0,0.005996
instances\test_11.txt,CBS,lookahead,,4,35,3.0,5.0,143.0,450.0,0.094326,0.094326,0.094326,test_11.txt,test_11.txt,35,143.0,450.0,0.003987,35,143.0,450.0,0.094326,35,139.0,411.0,0.005996
instances\test_12.txt,CBS,astar,,,36,6.0,11.0,125.0,457.0,0.004803,0.004803,0.004803,test_12.txt,test_12.txt,36,125.0,457.0,0.004803,36,125.0,457.0,0.086144,36,125.0,427.0,0.006039
instances\test_12.txt,CBS,partial,3,,36,6.0,11.0,125.0,427.0,0.006039,0.006039,0.006039,test_12.txt,test_12.txt,36,125.0,457.0,0.004803,36,125.0,457.0,0.086144,36,125.0,427.0,0.006039
instances\test_12.txt,CBS,lookahead,,4,36,6.0,11.0,125.0,457.0,0.086144,0.086144,0.086144,test_12.txt,test_12.txt,36,125.0,457.0,0.004803,36,125.0,457.0,0.086144,36,125.0,427.0,0.006039
instances\test_13.txt,CBS,astar,,,36,9.0,17.0,231.0,835.0,0.008003,0.008003,0.008003,test_13.txt,test_13.txt,36,231.0,835.0,0.008003,36,231.0,835.0,0.175587,36,231.0,780.0,0.008033
instances\test_13.txt,CBS,partial,3,,36,9.0,17.0,231.0,780.0,0.008033,0.008033,0.008033,test_13.txt,test_13.txt,36,231.0,835.0,0.008003,36,231.0,835.0,0.175587,36,231.0,780.0,0.008033
instances\test_13.txt,CBS,lookahead,,4,36,9.0,17.0,231.0,835.0,0.175587,0.175587,0.175587,test_13.txt,test_13.txt,36,231.0,835.0,0.008003,36,231.0,835.0,0.175587,36,231.0,780.0,0.008033
instances\test_14.txt,CBS,astar,,,24,2.0,3.0,42.0,163.0,0.003002,0.003002,0.003002,test_14.txt,test_14.txt,24,42.0,163.0,0.003002,24,42.0,163.0,0.058134,24,42.0,140.0,0.001999
instances\test_14.txt,CBS,partial,3,,24,2.0,3.0,42.0,140.0,0.001999,0.001999,0.001999,test_14.txt,test_14.txt,24,42.0,163.0,0.003002,24,42.0,163.0,0.058134,24,42.0,140.0,0.001999
instances\test_14.txt,CBS,lookahead,,4,24,2.0,3.0,42.0,163.0,0.058134,0.058134,0.058134,test_14.txt,test_14.txt,24,42.0,163.0,0.003002,24,42.0,163.0,0.058134,24,42.0,140.0,0.001999
instances\test_15.txt,CBS,astar,,,50,12.0,23.0,513.0,1607.0,0.016102,0.016102,0.016102,test_15.txt,test_15.txt,50,513.0,1607.0,0.016102,50,513.0,1607.0,0.312599,50,562.0,1663.0,0.012453
instances\test_15.txt,CBS,partial,3,,50,12.0,23.0,562.0,1663.0,0.012453,0.012453,0.012453,test_15.txt,test_15.txt,50,513.0,1607.0,0.016102,50,513.0,1607.0,0.312599,50,562.0,1663.0,0.012453
