instance,solver,mode,partial_k,lookahead_depth,cost,high_expanded,high_generated,low_expanded,low_generated,cpu_time_or_status
instances\test_1.txt,CBS,astar,,,41,145,289,3763,12068,0.083773
instances\test_1.txt,CBS,partial,3,,41,145,289,3899,11491,0.084454
instances\test_1.txt,CBS,lookahead,,4,41,145,289,3763,12068,2.656480
instances\test_10.txt,CBS,astar,,,19,4,7,100,304,0.003598
instances\test_10.txt,CBS,partial,3,,19,4,7,112,299,0.003000
instances\test_10.txt,CBS,lookahead,,4,19,4,7,100,304,0.058898
instances\test_11.txt,CBS,astar,,,35,3,5,143,450,0.003987
instances\test_11.txt,CBS,partial,3,,35,3,5,139,411,0.005996
instances\test_11.txt,CBS,lookahead,,4,35,3,5,143,450,0.094326
instances\test_12.txt,CBS,astar,,,36,6,11,125,457,0.004803
instances\test_12.txt,CBS,partial,3,,36,6,11,125,427,0.006039
instances\test_12.txt,CBS,lookahead,,4,36,6,11,125,457,0.086144
instances\test_13.txt,CBS,astar,,,36,9,17,231,835,0.008003
instances\test_13.txt,CBS,partial,3,,36,9,17,231,780,0.008033
instances\test_13.txt,CBS,lookahead,,4,36,9,17,231,835,0.175587
instances\test_14.txt,CBS,astar,,,24,2,3,42,163,0.003002
instances\test_14.txt,CBS,partial,3,,24,2,3,42,140,0.001999
instances\test_14.txt,CBS,lookahead,,4,24,2,3,42,163,0.058134
instances\test_15.txt,CBS,astar,,,50,12,23,513,1607,0.016102
instances\test_15.txt,CBS,partial,3,,50,12,23,562,1663,0.012453
instances\test_15.txt,CBS,lookahead,,4,50,12,23,513,1607,0.312599
instances\test_16.txt,CBS,astar,,,51,19,37,2122,4032,0.030470
instances\test_16.txt,CBS,partial,3,,53,46,91,8063,13848,0.109200
instances\test_16.txt,CBS,lookahead,,4,51,19,37,2122,4032,0.742070
instances\test_17.txt,CBS,astar,,,39,1,1,46,174,0.002748
instances\test_17.txt,CBS,partial,3,,39,1,1,46,159,0.002096
instances\test_17.txt,CBS,lookahead,,4,39,1,1,46,174,0.031089
instances\test_18.txt,CBS,astar,,,32,7,13,174,567,0.005987
instances\test_18.txt,CBS,partial,3,,32,7,13,175,504,0.005812
instances\test_18.txt,CBS,lookahead,,4,32,7,13,174,567,0.133398
instances\test_19.txt,CBS,astar,,,47,6,11,311,892,0.008092
instances\test_19.txt,CBS,partial,3,,47,6,11,351,922,0.008398
instances\test_19.txt,CBS,lookahead,,4,47,6,11,311,892,0.175329
instances\test_2.txt,CBS,astar,,,18,1,1,23,87,0.001998
instances\test_2.txt,CBS,partial,3,,18,1,1,23,74,0.002134
instances\test_2.txt,CBS,lookahead,,4,18,1,1,23,87,0.032213
instances\test_20.txt,CBS,astar,,,28,2,3,52,193,0.002010
instances\test_20.txt,CBS,partial,3,,28,2,3,52,175,0.003494
instances\test_20.txt,CBS,lookahead,,4,28,2,3,52,193,0.037887
instances\test_21.txt,CBS,astar,,,46,4,7,142,459,0.005389
instances\test_21.txt,CBS,partial,3,,46,4,7,153,442,0.005517
instances\test_21.txt,CBS,lookahead,,4,46,4,7,142,459,0.091524
instances\test_22.txt,CBS,astar,,,51,8,15,186,698,0.006997
instances\test_22.txt,CBS,partial,3,,51,8,15,186,644,0.006999
instances\test_22.txt,CBS,lookahead,,4,51,8,15,186,698,0.145005
instances\test_23.txt,CBS,astar,,,32,2,3,52,215,0.003004
instances\test_23.txt,CBS,partial,3,,32,2,3,52,178,0.002998
instances\test_23.txt,CBS,lookahead,,4,32,2,3,52,215,0.049268
instances\test_24.txt,CBS,astar,,,47,13,25,214,828,0.010222
instances\test_24.txt,CBS,partial,3,,47,13,25,214,737,0.010497
instances\test_24.txt,CBS,lookahead,,4,47,13,25,214,828,0.171982
instances\test_25.txt,CBS,astar,,,40,6,11,174,569,0.006327
instances\test_25.txt,CBS,partial,3,,40,6,11,176,543,0.006334
instances\test_25.txt,CBS,lookahead,,4,40,6,11,174,569,0.109165
instances\test_26.txt,CBS,astar,,,42,5,9,124,469,0.008000
instances\test_26.txt,CBS,partial,3,,42,5,9,124,432,0.008403
instances\test_26.txt,CBS,lookahead,,4,42,5,9,124,469,0.102002
instances\test_27.txt,CBS,astar,,,40,6,11,120,439,0.005530
instances\test_27.txt,CBS,partial,3,,40,6,11,120,402,0.007234
instances\test_27.txt,CBS,lookahead,,4,40,6,11,120,439,0.090595
instances\test_28.txt,CBS,astar,,,41,8,15,230,727,0.008471
instances\test_28.txt,CBS,partial,3,,41,9,17,245,722,0.009004
instances\test_28.txt,CBS,lookahead,,4,41,8,15,230,727,0.148457
instances\test_29.txt,CBS,astar,,,48,14,27,496,1511,0.013562
instances\test_29.txt,CBS,partial,3,,48,14,27,539,1510,0.013998
instances\test_29.txt,CBS,lookahead,,4,48,14,27,496,1511,0.320018
instances\test_3.txt,CBS,astar,,,28,1,1,33,123,0.001989
instances\test_3.txt,CBS,partial,3,,28,1,1,33,112,0.002306
instances\test_3.txt,CBS,lookahead,,4,28,1,1,33,123,0.022205
instances\test_30.txt,CBS,astar,,,43,417,833,7229,26561,0.327372
instances\test_30.txt,CBS,partial,3,,43,417,833,7231,24660,0.338098
instances\test_30.txt,CBS,lookahead,,4,43,417,833,7229,26561,7.412875
instances\test_31.txt,CBS,astar,,,39,9,17,294,933,0.007108
instances\test_31.txt,CBS,partial,3,,39,9,17,292,907,0.007218
instances\test_31.txt,CBS,lookahead,,4,39,9,17,294,933,0.163074
instances\test_32.txt,CBS,astar,,,30,4,7,263,606,0.005001
instances\test_32.txt,CBS,partial,3,,30,4,7,320,732,0.006558
instances\test_32.txt,CBS,lookahead,,4,30,4,7,263,606,0.107321
instances\test_33.txt,CBS,astar,,,28,10,19,322,956,0.007811
instances\test_33.txt,CBS,partial,3,,28,10,19,353,985,0.008041
instances\test_33.txt,CBS,lookahead,,4,28,10,19,322,956,0.191923
instances\test_34.txt,CBS,astar,,,33,3,5,84,283,0.003014
instances\test_34.txt,CBS,partial,3,,33,3,5,84,273,0.002015
instances\test_34.txt,CBS,lookahead,,4,33,3,5,84,283,0.041996
instances\test_35.txt,CBS,astar,,,30,3,5,97,308,0.003999
instances\test_35.txt,CBS,partial,3,,30,3,5,100,296,0.005316
instances\test_35.txt,CBS,lookahead,,4,30,3,5,97,308,0.064083
instances\test_36.txt,CBS,astar,,,23,2,3,42,146,0.001246
instances\test_36.txt,CBS,partial,3,,23,2,3,42,137,0.003604
instances\test_36.txt,CBS,lookahead,,4,23,2,3,42,146,0.028217
instances\test_37.txt,CBS,astar,,,38,61,121,1397,5171,0.041615
instances\test_37.txt,CBS,partial,3,,38,61,121,1397,4858,0.038225
instances\test_37.txt,CBS,lookahead,,4,38,61,121,1397,5171,1.218939
instances\test_38.txt,CBS,astar,,,28,1,1,33,116,0.000999
instances\test_38.txt,CBS,partial,3,,28,1,1,33,107,0.001417
instances\test_38.txt,CBS,lookahead,,4,28,1,1,33,116,0.018531
instances\test_39.txt,CBS,astar,,,35,3,5,83,298,0.003000
instances\test_39.txt,CBS,partial,3,,35,3,5,83,284,0.002999
instances\test_39.txt,CBS,lookahead,,4,35,3,5,83,298,0.049782
instances\test_4.txt,CBS,astar,,,32,18,35,421,1563,0.010201
instances\test_4.txt,CBS,partial,3,,32,18,35,421,1452,0.010013
instances\test_4.txt,CBS,lookahead,,4,32,18,35,421,1563,0.460558
instances\test_40.txt,CBS,astar,,,24,2,3,68,211,0.003053
instances\test_40.txt,CBS,partial,3,,24,2,3,70,191,0.002302
instances\test_40.txt,CBS,lookahead,,4,24,2,3,68,211,0.045030
instances\test_41.txt,CBS,astar,,,45,407,813,19081,48920,0.351491
instances\test_41.txt,CBS,partial,3,,45,398,795,19135,47761,0.351010
instances\test_41.txt,CBS,lookahead,,4,45,407,813,19081,48920,9.600278
instances\test_42.txt,CBS,astar,,,57,322,643,12693,34093,0.332701
instances\test_42.txt,CBS,partial,3,,57,322,643,13470,35780,0.336523
instances\test_42.txt,CBS,lookahead,,4,57,322,643,12693,34093,6.263316
instances\test_43.txt,CBS,astar,,,43,7,13,522,1215,0.010139
instances\test_43.txt,CBS,partial,3,,43,7,13,616,1331,0.010782
instances\test_43.txt,CBS,lookahead,,4,43,7,13,522,1215,0.224682
instances\test_44.txt,CBS,astar,,,33,11,21,187,687,0.007012
instances\test_44.txt,CBS,partial,3,,33,11,21,187,628,0.008107
instances\test_44.txt,CBS,lookahead,,4,33,11,21,187,687,0.144710
instances\test_45.txt,CBS,astar,,,24,2,3,62,194,0.002002
instances\test_45.txt,CBS,partial,3,,24,2,3,61,173,0.003274
instances\test_45.txt,CBS,lookahead,,4,24,2,3,62,194,0.069212
instances\test_46.txt,CBS,astar,,,57,29,57,1068,3079,0.035639
instances\test_46.txt,CBS,partial,3,,57,29,57,1167,3102,0.027795
instances\test_46.txt,CBS,lookahead,,4,57,29,57,1068,3079,0.629472
instances\test_47.txt,CBS,astar,,,-1,NODE_LIMIT,,75448,200001,1.520758
instances\test_47.txt,CBS,partial,3,,-1,NODE_LIMIT,,75478,200001,1.489773
instances\test_47.txt,CBS,lookahead,,4,-1,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
instances\test_48.txt,CBS,astar,,,36,5,9,112,391,0.004027
instances\test_48.txt,CBS,partial,3,,36,5,9,112,384,0.004000
instances\test_48.txt,CBS,lookahead,,4,36,5,9,112,391,0.064329
instances\test_49.txt,CBS,astar,,,42,7,13,151,512,0.005096
instances\test_49.txt,CBS,partial,3,,42,7,13,151,493,0.005375
instances\test_49.txt,CBS,lookahead,,4,42,7,13,151,512,0.079897
instances\test_5.txt,CBS,astar,,,26,6,11,142,488,0.004988
instances\test_5.txt,CBS,partial,3,,26,6,11,152,470,0.004362
instances\test_5.txt,CBS,lookahead,,4,26,6,11,142,488,0.097751
instances\test_50.txt,CBS,astar,,,48,13,25,1752,3072,0.021300
instances\test_50.txt,CBS,partial,3,,48,15,29,2781,4585,0.035049
instances\test_50.txt,CBS,lookahead,,4,48,13,25,1752,3072,0.507424
instances\test_6.txt,CBS,astar,,,24,3,5,57,219,0.003124
instances\test_6.txt,CBS,partial,3,,24,3,5,57,193,0.002017
instances\test_6.txt,CBS,lookahead,,4,24,3,5,57,219,0.048008
instances\test_7.txt,CBS,astar,,,34,2,3,53,198,0.001999
instances\test_7.txt,CBS,partial,3,,34,2,3,53,182,0.003394
instances\test_7.txt,CBS,lookahead,,4,34,2,3,53,198,0.034399
instances\test_8.txt,CBS,astar,,,38,271,541,8079,26924,0.161675
instances\test_8.txt,CBS,partial,3,,38,271,541,8168,26045,0.170405
instances\test_8.txt,CBS,lookahead,,4,38,271,541,8079,26924,6.312251
instances\test_9.txt,CBS,astar,,,24,1,1,30,112,0.002107
instances\test_9.txt,CBS,partial,3,,24,1,1,30,100,0.002149
instances\test_9.txt,CBS,lookahead,,4,24,1,1,30,112,0.021386
